key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
AURA_LORE_2,"Theories suggest that the color, size, and shape of an aura reflect one's health, mood, or spirit.",,,,,,,,,,
AURA_LORE_3,"Some theoriest argue that dna is an antenna designed to receive and transmit such energies, from where it is stored in the pineal gland.",,,,,,,,,,
BALTIC_SEA_ANOMALY_LORE_1,"Discovered by sonar in the Baltic Sea, this anomaly has been speculated to be everything from a crashed UFO to Atlantis.",,,,,,,,,,
BALTIC_SEA_ANOMALY_LORE_2,"Its unusual shape and composition have fueled numerous theories, despite geological explanations suggesting otherwise.",,,,,,,,,,
BALTIC_SEA_ANOMALY_LORE_3,"Some believe it's not a wreck, but rather a still functioning spaceship, waiting in the depths, biding its time.",,,,,,,,,,
BICAMERALISM_LORE_1,"Bicameralism is the idea that ancient humans experienced thoughts as external voices, guiding their actions.",,,,,,,,,,
BICAMERALISM_LORE_2,"This theory suggests that the human brain has two separate systems, one for conscious thought and one for subconscious communication with the divine.",,,,,,,,,,
BICAMERALISM_LORE_3,"Some believe that these voices were the gods themselves, while others suggest they were simply the result of the brain's natural processes.",,,,,,,,,,
BIG_PHARMA_LORE_1,Some believe that major pharmaceutical companies are more interested in profits than in public health.,,,,,,,,,,
BIG_PHARMA_LORE_2,It's alleged that they suppress natural remedies and keep people dependent on expensive drugs.,,,,,,,,,,
BIG_PHARMA_LORE_3,This control extends to influencing medical research and regulatory bodies.,,,,,,,,,,
BOHEMIAN_GROVE_LORE_1,Bohemian Grove is a secluded campground where the rich and powerful allegedly hold secretive meetings.,,,,,,,,,,
BOHEMIAN_GROVE_LORE_2,"The statue of moloch is said to be a symbol of the grove, and the elite are said to worship it.",,,,,,,,,,
BOHEMIAN_GROVE_LORE_3,The ultimate goal of the elite is to control the people in power through rituals and blackmail. Those who are not in the group shall have a hard time finding success in politics.,,,,,,,,,,
BOOTES_VOID_LORE_1,"The Bootes Void is a mysterious region in the sky, often associated with a void or lack of stars.",,,,,,,,,,
BOOTES_VOID_LORE_2,Some speculate this void as evidence of cosmic engineering or hidden civilizations.,,,,,,,,,,
BOOTES_VOID_LORE_3,"If this is true, then what horrifying power could have create a void, larger than our galaxy?",,,,,,,,,,
BRAIN_IN_A_JAR_LORE_1,The brain in a jar scenario is a thought experiment that explores the idea of how sensation constructs one's perception of reality.,,,,,,,,,,
BRAIN_IN_A_JAR_LORE_2,"If a brain was floating in a jar somewhere, recieving electrical impulses that simulated an exernal world, the brain would not be able to tell the difference.",,,,,,,,,,
BRAIN_IN_A_JAR_LORE_3,"When this theory is pondered on a deeper level, it raises the question, what is the ultimate basis of reality? And can we ever know it?",,,,,,,,,,
BREATHARIANISM_LORE_1,"Breatharianism claims individuals can live without food or water, subsisting on prana or light energy.",,,,,,,,,,
BREATHARIANISM_LORE_2,"The human body is capable of absorbing light energy, and converting it into the necessary nutrients for survival.",,,,,,,,,,
BREATHARIANISM_LORE_3,"The ancients knew this, and used it to their advantage, by slowing down their metabolism to live longer",,,,,,,,,,
BUTTERFLY_EFFECT_LORE_1,"The Butterfly Effect in chaos theory suggests small actions can lead to significant, unpredictable outcomes.",,,,,,,,,,
BUTTERFLY_EFFECT_LORE_2,"Similar to the three body problem, the butterfly effect informs us that small, seemingly inconsequencal actions can be wide ranging effects on other outcomes.",,,,,,,,,,
BUTTERFLY_EFFECT_LORE_3,"The butterfly effect is a reminder that the future is not set in stone, and that our actions can shape the world in ways we may not have imagined.",,,,,,,,,,
CAVE_DWELLER_HOLOCAUST_LORE_1,This theory claims that prehistoric cave dwellers were systematically exterminated by a more advanced group.,,,,,,,,,,
CAVE_DWELLER_HOLOCAUST_LORE_2,"Homo sapiens are the only survivors of the hominid family, in the ancient past this was not always the case.",,,,,,,,,,
CAVE_DWELLER_HOLOCAUST_LORE_3,"Early humans eradicated the Neanderthals, and other hominids, erasing entires species from the earth.",,,,,,,,,,
CLASSICAL_METAPHYSICS_LORE_1,Pythagoras was a Greek philosopher who founded the Pythagorean school of thought.,,,,,,,,,,
CLASSICAL_METAPHYSICS_LORE_2,"He is known for the Pythagorean theorem, but he also believed that the universe was a mathematical construct.",,,,,,,,,,
CLASSICAL_METAPHYSICS_LORE_3,"Pythagorean mysteries are a collection of esoteric teachings attributed to Pythagoras, including the importance of numbers.",,,,,,,,,,
CRYSTAL_SKULLS_LORE_1,"Crystal skulls are often linked to ancient civilizations, believed to hold mystical powers or knowledge.",,,,,,,,,,
CRYSTAL_SKULLS_LORE_2,"The skulls are too precise to have been carved by hand, and the crystal is too pure to have been formed naturally.",,,,,,,,,,
CRYSTAL_SKULLS_LORE_3,"Legends claim there are 13 such skulls, which when united, could reveal great secrets or powers.",,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS_LORE_1,"Deep Soy and xeno estrogens relate to fears that environmental chemicals are altering human biology, specifically masculinity.",,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS_LORE_2,"Testosterone levels in men have been declining since the 1940s, and this is often blamed on chemicals in the environment, AKA xeno estrogens.",,,,,,,,,,
DEEP_SOY_XENO_ESTROGENS_LORE_3,"Common items that contain xeno estrogens include plastics, some foods, and most disturbingly grocery store receipts.",,,,,,,,,,
DIVINATION_LORE_1,Divination is the practice of seeking knowledge of the future or unknown through supernatural means.,,,,,,,,,,
DIVINATION_LORE_2,"The ancient romans used augury to predict the future, and the bible mentions the use of the Urim and Thummim to see the future.",,,,,,,,,,
DIVINATION_LORE_3,The entrails of animals and the movement of birds could indicate portents of the future.,,,,,,,,,,
DMT_BEINGS_LORE_1,"DMT, a powerful psychedelic, is known for inducing visions of entities or known as machine elves during use.",,,,,,,,,,
DMT_BEINGS_LORE_2,The consistency of these encounter and their behaviour leads to the idea that these machine elves are real.,,,,,,,,,,
DMT_BEINGS_LORE_3,"DMT beings are speculated to be the souls of nephelim, the fallen angels of the bible.",,,,,,,,,,
DOGON_TRIBE_LORE_1,"The Dogon Tribe of Mali is known for their knowledge of Sirius, particularly Sirius B, long before modern astronomy.",,,,,,,,,,
DOGON_TRIBE_LORE_2,"Some claim this indicates ancient contact with extraterrestrials, giving the Dogon advanced astronomical knowledge.",,,,,,,,,,
DOGON_TRIBE_LORE_3,The Dogon are said to have received this knowledge from a group of beings known as the 'Morro.',,,,,,,,,,
DOLPHIN_INTELLIGENCE_LORE_1,"Dolphins are known for their intelligence, leading some to speculate they might possess a form of advanced consciousness or even technology.",,,,,,,,,,
DOLPHIN_INTELLIGENCE_LORE_2,"This intelligence if real, could challenge human's understanding of conciousness.",,,,,,,,,,
DOLPHIN_INTELLIGENCE_LORE_3,"If we could understand them, we would realize that we are not the only intelligent species on this planet.",,,,,,,,,,
DREAM_HACKING_LORE_1,"Dream hacking is the idea that the subconscious mind can be infiltrated by external forces, such as other conciousnesses.",,,,,,,,,,
DREAM_HACKING_LORE_2,If dreams are a reflection of the subconscious mind then attacking the subconcious can change the types of dream a person has.,,,,,,,,,,
DREAM_HACKING_LORE_3,"By shaping people's dreams, you can shape their reality.",,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE_LORE_1,"This theory suggests that the act of eating, especially certain foods, accelerates aging due to metabolic processes.",,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE_LORE_2,"The theory is based on the idea that the body's metabolism is accelerated when we eat, spending more energy on digestions.",,,,,,,,,,
EATING_FOOD_MAKES_YOU_AGE_LORE_3,"The theory also points out that when the body is not digesting, it instead spends that energy on repair and maintenance.",,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES_LORE_1,"Theories suggest that elite politicians use body doubles for security, health, or to be in multiple places.",,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES_LORE_2,"Current disguise technology is advanced enough that any person can be made to look like another, without anyone noticing.",,,,,,,,,,
ELITE_POLITICIAN_BODY_DOUBLES_LORE_3,However the theory takes a sinister turn when it is suggested that celebrities and politicians can be replaced should the original fail to obey the elite.,,,,,,,,,,
EXPERIMENTS_ON_HUMANS_LORE_1,Conspiracy theories often allege that governments or corporations conduct illegal experiments on humans.,,,,,,,,,,
EXPERIMENTS_ON_HUMANS_LORE_2,"Various governemnts have addmitted to such experiments, and the CIA has been known to fund such projects.",,,,,,,,,,
EXPERIMENTS_ON_HUMANS_LORE_3,"Human cloning, mind control, biological warfare, for those with no morals and no conscience there are many exciting fields of study.",,,,,,,,,,
FIELD_CONCIOUSNESS_LORE_1,"The field conciousness is the idea that the thoughts of all humans are connected and form a single, unified field.",,,,,,,,,,
FIELD_CONCIOUSNESS_LORE_2,"But that furthermore, this field includes all awarness and thoughts.",,,,,,,,,,
FIELD_CONCIOUSNESS_LORE_3,"If one could access conciously access this field, it would be possible to see all thoughts and memories, even those that haven't happened yet.",,,,,,,,,,
FISH_RAIN_LORE_1,"Fish rain involves fish falling from the sky, often explained by waterspouts or tornadoes.",,,,,,,,,,
FISH_RAIN_LORE_2,"However certain instances have been reported far inland, and the fish are not native to the area.",,,,,,,,,,
FISH_RAIN_LORE_3,"Some believe this is a sign of the end times, and the fish are the souls of the fallen.",,,,,,,,,,
FLOURID_EFFECT_LORE_1,"Fluoride is allegedly added to water to prevent tooth decay, but some believe it has other effects.",,,,,,,,,,
FLOURID_EFFECT_LORE_2,"Fluoride is a known neurotoxin and has been linked to a range of health problems, including reduced IQ, cancer, and reproductive issues.",,,,,,,,,,
FLOURID_EFFECT_LORE_3,"It's suggested that it might be used to control population or suppress pineal gland function, preventing psychic mass awakening.",,,,,,,,,,
FRACTIALIZATION_LORE_1,"Fractialization suggests reality operates like fractals, repeating patterns at all scales.",,,,,,,,,,
FRACTIALIZATION_LORE_2,"The theory suggests that even smaller portions of our universe, hold their own infinite reality.",,,,,,,,,,
FRACTIALIZATION_LORE_3,"This implies that but studying the universe at larger scales, we can learn about the smaller scales at the same time.",,,,,,,,,,
FULLCANELLI_LORE_1,Fulcanelli was a pseudonym for an enigmatic alchemist whose works suggest he possessed secret knowledge.,,,,,,,,,,
FULLCANELLI_LORE_2," After publishing, he disappeared, leading to legends of immortality, secret societies, or even extraterrestrial connections.",,,,,,,,,,
FULLCANELLI_LORE_3,"His legacy keeps alchemical mysteries alive, with some believing his teachings hide clues to hidden truths.",,,,,,,,,,
GANGSTALKING_LORE_1,"Gangstalking is the practice of following someone, often with malicious intent, to cause psychological distress.",,,,,,,,,,
GANGSTALKING_LORE_2,The targets are often chosen based on their perceived weaknesses or vulnerabilities.,,,,,,,,,,
GANGSTALKING_LORE_3,The goal is to wear them down through constant surveillance and psychological manipulation.,,,,,,,,,,
GENEPOOL_FINANCIALIZATION_LORE_1,The point of a financial market is to reduce costs and increase profits.,,,,,,,,,,
GENEPOOL_FINANCIALIZATION_LORE_2,"If a persons genertic code can increase the value of that person throughout their life, then that increase in value can be traded against.",,,,,,,,,,
GENEPOOL_FINANCIALIZATION_LORE_3,But what happens when the value of a person is negative? Could it be possible to borrow against one's genes?,,,,,,,,,,
GEOMETRODYNAMICS_LORE_1,Geometrodynamics is a theory in physics where gravity is explained through the geometry of space-time.,,,,,,,,,,
GEOMETRODYNAMICS_LORE_2,Space and time could in fact be emergent properties of a higher dimensional space.,,,,,,,,,,
GEOMETRODYNAMICS_LORE_3,"If this geometry could be understood, then all knowledge would be at our fingertips.",,,,,,,,,,
GHOST_CONDENSATE_LORE_1,"If the spiritual realm exists, then what is it made of?",,,,,,,,,,
GHOST_CONDENSATE_LORE_2,What would the properties of this material be?,,,,,,,,,,
GHOST_CONDENSATE_LORE_3,"And if one could manipulate this material, then what could it be used to create?",,,,,,,,,,
GLOBAL_DEPOPULATION_LORE_1,The global depopulation agenda is a conspiracy theory suggesting that a secretive group is intentionally reducing the world's population.,,,,,,,,,,
GLOBAL_DEPOPULATION_LORE_2,"This group is said to be using various methods, including vaccines, GMO crops, and even geoengineering to achieve this goal.",,,,,,,,,,
GLOBAL_DEPOPULATION_LORE_3,"The theory posits that this is part of a larger plan to create a new world order, with fewer people to contend with.",,,,,,,,,,
GODS_EGO_DEATH_LORE_1,God's Ego Death theorizes that a supreme being underwent a dissolution of self to create or free the universe.,,,,,,,,,,
GODS_EGO_DEATH_LORE_2,The desire to create something outside of its own control might have precipitated the creation of the universe.,,,,,,,,,,
GODS_EGO_DEATH_LORE_3,This might mean humanity inherited a chaotic freedom or a hidden divine agenda.,,,,,,,,,,
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL_LORE_1,This theory suggests that God's last wish was for humans to have free will.,,,,,,,,,,
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL_LORE_2,It implies that God created the universe with the intention that humans would have the ability to choose their own path.,,,,,,,,,,
GODS_LAST_WISH_WAS_FOR_HUMANS_TO_HAVE_FREE_WILL_LORE_3,"This choice is seen as a gift, as it allows humans to experience the full range of emotions and experiences.",,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY_LORE_1,This theory posits that all smaller conspiracy theories are part of one grand scheme by a shadowy elite.,,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY_LORE_2,"It links events, organizations, and phenomena, suggesting a coordinated effort to control or mislead humanity.",,,,,,,,,,
GRAND_UNIFIED_CONSPIRACY_THEORY_LORE_3,"Nothing is random, everything is connected.",,,,,,,,,,
GREY_GOO_LORE_1,"The Grey Goo scenario is where self-replicating nanobots consume all matter on Earth, turning it into more of themselves.",,,,,,,,,,
GREY_GOO_LORE_2,"The greatest threat of nanotechnology is that like biologicall organism after many iterations of replicating itself, changes and mutations may occure over times.",,,,,,,,,,
GREY_GOO_LORE_3,"Most of these mutations will result in the nanobots deactivating, but some could have the potential to cause new, non-human approved behaviours in the machines. If enough of those changes occur, they could become unstoppable.",,,,,,,,,,
HERMETICISM_LORE_1,Hermeticism is a philosophical and religious tradition based on writings attributed to Hermes Trismegistus.,,,,,,,,,,
HERMETICISM_LORE_2,"It's often associated with alchemy, astrology, and magic, suggesting a deep, hidden knowledge of the universe.",,,,,,,,,,
HERMETICISM_LORE_3,"Hermes Trismegistus gained his knowlegde from the Atlantians,As above, so below.",,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG_LORE_1,"Rolang or Himalayan Zombies are part of Tibetan folklore, describing reanimated corpses with supernatural powers.",,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG_LORE_2,Stories of corposes being found in different locations from where they were abbandoned suggests some kind of reanimating force.,,,,,,,,,,
HIMALAYAN_ZOMBIES_ROLANG_LORE_3,"Tibetan monks are said to have secret knowledge of life and death, suggesting a link between the two.",,,,,,,,,,
HOLOTROPIC_BREATHWORKS_LORE_1,Controlling the mind through breathing techniques,,,,,,,,,,
HOLOTROPIC_BREATHWORKS_LORE_2,"By changing the amount of oxygen in the bloodstream, a trance like state can be induced.",,,,,,,,,,
HOLOTROPIC_BREATHWORKS_LORE_3,"This can be used to control the mind, or to induce a trance like state.",,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH_LORE_1,Many cultures around the world have stories of a great flood that destroyed their world.,,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH_LORE_2,"These stories often share similar themes, involving the mixing of the terrestrial and the divine, only for the new creation to be eradicated.",,,,,,,,,,
HUMANITY_SHARES_A_FLOOD_MYTH_LORE_3,"The biblical flood myth tells of a global flood, created to remove the tainted offspring of humans and giants.",,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE_LORE_1,"The Human Genome Project was a massive effort to map the human genome, but what was the true purpose?",,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE_LORE_2,"Some believe that the project was a way to control the population, isolating and weaponizing the genes of the population against them.",,,,,,,,,,
HUMAN_GENOME_PROJECTS_TRUE_PURPOSE_LORE_3,"That which can be used to cure, can also be used to kill, by targeting certain genes, you can target certain people.",,,,,,,,,,
HYPERSIGILS_LORE_1,Hypersigils are based on the idea that the representation of an object can be used to affect that object.,,,,,,,,,,
HYPERSIGILS_LORE_2,"Hypersigils involve using art, particularly narrative works, as a form of magic to influence reality or destiny.",,,,,,,,,,
HYPERSIGILS_LORE_3,"The ultimate form of a hypersigil would be the data a person leaves behind on the internet, potentially allow a few bad actors to affect the whole world.",,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT_LORE_1,"Bigfoot, also known as Sasquatch, is a legendary creature that is said to inhabit the forests of North America.",,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT_LORE_2,Some Bigfoot theories propose these creatures can move between dimensions or have origins beyond our world.,,,,,,,,,,
INTERDIMENSIONAL_BIGFOOT_LORE_3,"But if bigfoot only spends a portion of their time in our dimension, then where is the rest of their time spent?",,,,,,,,,,
KALI_YUGA_LORE_1,"Kali Yuga, in Hindu cosmology, is the age of darkness and decay, part of a cyclical pattern of yugas.",,,,,,,,,,
KALI_YUGA_LORE_2,"These cycles of corruption and decay, followed by heroic destruction and restoration, have applied to all societies throughout history.",,,,,,,,,,
KALI_YUGA_LORE_3,"When things get bad, never lose hope, for the cycle will turn again.",,,,,,,,,,
KUNDALINI_ENERGY_LORE_1,"Kundalini energy is a concept in yoga and tantra, representing a coiled serpent energy at the base of the spine.",,,,,,,,,,
KUNDALINI_ENERGY_LORE_2,"If the energy at the base of the spine is able to rise through the chakras, it can eventually reach the brain.",,,,,,,,,,
KUNDALINI_ENERGY_LORE_3,"Once the energy reaches the brain, it can continue further beyond, connecting to the cosmos itself.",,,,,,,,,,
LAST_THURSDAYISM_LORE_1,Last Thursdayism is a conspiracy theory that suggests the world was created last Thursday.,,,,,,,,,,
LAST_THURSDAYISM_LORE_2,"This theory suggests that the world might be an iteration of a simulation, with the simulator continually resetting.",,,,,,,,,,
LAST_THURSDAYISM_LORE_3,"If this is true, then what outcome is the simulator searching for? And what happens when they achieve it?",,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA_LORE_1,Lemuria is a mythical continent said to have sunk beneath the Pacific Ocean.,,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA_LORE_2,"Legends describe a hidden city, Telos, with advanced Lemurians living in tunnels under the mountain.",,,,,,,,,,
LEMURIA_AND_MOUNT_SHASTA_LORE_3,Those who seek the ascended masters will find them upon reaching the peak of mount shasta.,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE_LORE_1,The Mayan ruler Pakal's sarcophagus lid has been interpreted by some as him piloting a spaceship or time machine.,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE_LORE_2,The story of lord Pakal's ability to travel through time is a popular one in Mayan mythology.,,,,,,,,,,
LORD_PAKALS_TIME_MACHINE_LORE_3,This idea supports the beleif that the Mayans had been elevated by extraterrestrials.,,,,,,,,,,
LUCID_DREAMING_LORE_1,Lucid dreaming is when you become aware and can control your dreams.,,,,,,,,,,
LUCID_DREAMING_LORE_2,Some believe it's a portal to other dimensions or a method used by ancient mystics.,,,,,,,,,,
LUCID_DREAMING_LORE_3,There's debate on whether lucid dreaming can be learned or if it naturally occurs.,,,,,,,,,,
MAJESTIC_TWELVE_LORE_1,"Majestic 12, or MJ-12, was formed by President Truman to investigate UFOs.",,,,,,,,,,
MAJESTIC_TWELVE_LORE_2,The group is said to have hidden evidence of extraterrestrial life and technology. Both from the public and the government.,,,,,,,,,,
MAJESTIC_TWELVE_LORE_3,"It begs the question, who has the power to keep even the president in the dark?",,,,,,,,,,
MANDELA_EFFECT_LORE_1,The Mandela Effect describes collective misremembering of common events or details.,,,,,,,,,,
MANDELA_EFFECT_LORE_2," Examples include the spelling of certain words or logos, or the altered existence of historical figures or events.",,,,,,,,,,
MANDELA_EFFECT_LORE_3,Some believe this phenomenon is due to alternate realities or parallel dimensions.,,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS_LORE_1,A theory claims microchips or advanced technology have been found in fossilized remains.,,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS_LORE_2,"Theories cite the stories of coal miners, finding fossilized microchips in coal that have remained burried for millenia.",,,,,,,,,,
MICROCHIPS_FOUND_IN_FOSSILS_LORE_3,These machines we're building. did we really design them ourselves?,,,,,,,,,,
MIRL_CULTS_LORE_1,"Via the power of the internet, peaple have the ability to connect with one another like never before.",,,,,,,,,,
MIRL_CULTS_LORE_2,But not all groups come togther in a way that is healthy. Some may devlope groups that parasaise and abuse their members.,,,,,,,,,,
MIRL_CULTS_LORE_3,"With the rise of the internet, humanity has become a petri dish for growing ever new varieties of cults.",,,,,,,,,,
MK_ULTRA_LORE_1,MK Ultra was a CIA program that experimented on unwitting subjects to develop mind control techniques.,,,,,,,,,,
MK_ULTRA_LORE_2,"The program used drugs, hypnosis, and other methods to manipulate subjects' minds, causing severe psychological trauma.",,,,,,,,,,
MK_ULTRA_LORE_3,"Some suggest that the techniques used in MK Ultra are still being used today, possibly on unsuspecting citizens.",,,,,,,,,,
MONTANISM_LORE_1,Montanism was an early Christian movement claiming direct revelations from the Holy Spirit.,,,,,,,,,,
MONTANISM_LORE_2,"After all, why should the creator ever cease communicating with his creation?",,,,,,,,,,
MONTANISM_LORE_3,"This idea was surpressed not for its lack of truth, but for its potential to alter or undermine pre-existing beliefs.",,,,,,,,,,
